producto,categoria,ean,carrefour,coto,dia,jumbo,mas_barata,dif_pct_max
aceite girasol natura botella 1 5 l,almacen,7790272001029,6975.0,6975.0,7460.0,7463.0,carrefour,7.0
agua sin gas mineral villavicencio 2000c,bebidas,7799155000197,3050.0,3050.0,3050.0,3200.0,carrefour,4.9
arroz blanco largo fino molinos ala 1kg,almacen,7791120100857,,2500.0,,2750.0,coto,10.0
arveja secas remojadas la campagnola lat 300 grm,almacen,7793360982309,,94.9,,112.39,coto,18.4
atun en aceite la campagnola en lata 300 g,almacen,7790580138769,9079.0,9082.0,,7300.0,jumbo,24.4
avena tradicional quaker en caja 550 grs,almacen,7792170555543,3240.0,3240.1,,3550.0,carrefour,9.6
azucar superior real ledesma 1kg,almacen,7792540250450,,1567.0,1565.0,1565.0,dia,0.1
bizcochos 9 de oro de grasa 200 g,panificados,7792200000159,1384.62,1519.0,1350.0,1450.0,dia,12.5
cafe tostado molido la virginia 250 grs,almacen,7790150007501,8259.0,8262.0,8259.0,8396.63,carrefour,1.7
cerveza quilmes botella 1 l,bebidas,7792798007387,4580.0,4580.0,,4580.0,carrefour,0.0
crema la serenisima para batir 520 cc,lacteos,7790742014122,6999.0,7349.0,7349.0,7900.0,carrefour,12.9
detergente magistral ultra limon botella 500ml,limpieza,7790990003039,4559.0,5049.99,4189.0,4558.0,dia,20.6
dulce de leche la serenisima colonial 400 g,lacteos,7790742625205,4615.0,4615.0,4615.0,4650.0,carrefour,0.8
fideos tallarin n 5 matarazzo 500g,almacen,7790070336316,2019.0,2100.0,2100.0,1923.0,jumbo,9.2
galletitas oreo rellenas con crema sabor original 354 g,panificados,7622201735258,6370.0,6650.0,6660.0,6284.0,jumbo,6.0
galletitas saladas sabor original traviata 96g,panificados,7790040143937,899.0,898.0,1063.0,1100.0,coto,22.5
gaseosa coca cola sabor original 2 25 lt,bebidas,7790895000997,5800.0,4845.0,5800.0,5800.0,coto,19.7
gaseosa lima limon sprite zero 2 25 lts,bebidas,7790895064166,5800.0,5700.0,5800.0,5800.0,coto,1.8
harina trigo 000 morixe 1kg,almacen,7790199000013,1109.0,1110.0,,1150.0,carrefour,3.7
huevo blanco maple x 30u,lacteos,7798092353120,,7990.0,,9350.0,coto,17.0
jabon de tocador dove original multipack x3 90 grs,limpieza,7891150046481,7265.0,7299.99,7289.0,7168.0,jumbo,1.8
jabon en polvo matic a mano lavado total con bicarbonato ala 800 g,limpieza,7791290796829,3319.0,3321.99,3320.0,3650.0,carrefour,10.0
jugo en polvo tang naranja dulce 15 g,bebidas,7622201735340,550.0,550.0,550.0,550.0,carrefour,0.0
lavandina original ayudin 2l,limpieza,7793253006709,2749.0,2925.99,2950.0,3366.45,carrefour,22.5
leche larga vida entera ua clasica 3 la serenisima 1l,lacteos,7790742363008,2799.0,2809.0,2805.0,2799.0,carrefour,0.4
manteca la serenisima 200gr,lacteos,7793940054006,4709.0,4819.0,4819.0,4771.0,carrefour,2.3
mayonesa liviana hellmanns dp 475 g,almacen,7794000007109,2999.0,2999.0,2998.0,2999.0,dia,0.0
mermelada light de durazno arcor 390 grs,almacen,7790580132224,3379.0,3379.0,3650.0,3800.0,carrefour,12.5
paleta cocida feteada paladini xkg,carnes,2003836100003,,24265.0,,,coto,0.0
pan blanco bimbo 400g,panificados,7793890261233,6020.0,6022.0,,6300.0,carrefour,4.7
papas fritas lays clasicas 330 g,almacen,7790310985588,9979.0,9979.0,,10450.0,carrefour,4.7
papel higienico elite ultra suave doble hoja 30 m 4 un,limpieza,7790250026075,4640.0,5617.99,5615.0,5459.0,carrefour,21.1
pasta dental colgate total whitening con fluor 90 grs,limpieza,7891024135020,6600.0,6610.99,7040.0,,carrefour,6.7
picada especial x kg,carnes,2069607000002,12990.0,10499.0,,,coto,23.7
polenta instantanea presto pronta en bolsa 490 g,almacen,7790580138738,1709.0,1599.0,1768.0,1850.0,coto,15.7
pollo entero fresco x uni 4 kg refrigerado,carnes,2000000127910,,17596.0,,,coto,0.0
pure de tomate arcor 520g,almacen,7790580146115,1110.0,1110.0,1220.0,1300.0,carrefour,17.1
queso cremoso fraccionado la paulina xkg,lacteos,2000199000001,,12599.0,,,coto,0.0
queso rallado coto 150g,lacteos,7790080014198,,6779.0,,,coto,0.0
rollo de cocina elite ultra absorbente 60 panos 3 uni,limpieza,7790250022053,4350.0,3454.99,3350.0,4350.0,dia,29.9
sal fina celusal 500g,almacen,7790072001014,1549.0,1549.0,1549.0,1650.0,carrefour,6.5
shampoo sedal ceramidas 190 cc,limpieza,7791293045658,3929.0,3929.99,,4250.0,carrefour,8.2
vino tinto clasico toro bot 1125 ltr,bebidas,7790314074219,,1959.03,,990.29,jumbo,97.8
yerba mate ytacua 1000g,almacen,7790387120349,,1756.78,,1307.19,jumbo,34.4
yogur bebible descremado sabor frutilla sancor vida 900g,lacteos,7798321152333,3120.0,3125.0,,3000.0,jumbo,4.2
