fecha,fuente,categoria,ean,producto,peso_variable,precio_lista,precio_promo
2026-07-17,coto,almacen,7790272001029,aceite girasol natura botella 1 5 l,0,6975.0,
2026-07-17,coto,almacen,7791120100857,arroz blanco largo fino molinos ala 1kg,0,2500.0,
2026-07-17,coto,almacen,7790070336316,fideos tallarin n 5 matarazzo 500g,0,1916.0,
2026-07-17,coto,almacen,7790199000013,harina trigo 000 morixe 1kg,0,1110.0,
2026-07-17,coto,almacen,7792540250450,azucar superior real ledesma 1kg,0,1567.0,
2026-07-17,coto,almacen,7790580146115,pure de tomate arcor 520g,0,1110.0,
2026-07-17,coto,almacen,7790072001014,sal fina celusal 500g,0,1549.0,
2026-07-17,coto,bebidas,7790895000997,gaseosa coca cola sabor original 2 25 lt,0,4845.0,
2026-07-17,coto,bebidas,7799155000197,agua sin gas mineral villavicencio 2000c,0,3050.0,
2026-07-17,coto,bebidas,7792798007387,cerveza quilmes botella 1 l,0,4326.0,
2026-07-17,coto,carnes,2069607000002,picada especial x kg,1,10499.0,
2026-07-17,coto,carnes,2000000127910,pollo entero fresco x uni 4 kg refrigerado,1,17596.0,
2026-07-17,coto,carnes,2003836100003,paleta cocida feteada paladini xkg,1,14999.0,
2026-07-17,coto,lacteos,7790742363008,leche larga vida entera ua clasica 3 la serenisima 1l,0,2809.0,
2026-07-17,coto,lacteos,7798321152333,yogur bebible descremado sabor frutilla sancor vida 900g,0,3125.0,
2026-07-17,coto,lacteos,2000199000001,queso cremoso fraccionado la paulina xkg,1,9399.0,
2026-07-17,coto,lacteos,7793940054006,manteca la serenisima 200gr,0,4819.0,
2026-07-17,coto,limpieza,7790990003039,detergente magistral ultra limon botella 500ml,0,5049.99,
2026-07-17,coto,limpieza,7793253006709,lavandina original ayudin 2l,0,2761.99,
2026-07-17,coto,limpieza,7790250026075,papel higienico elite ultra suave doble hoja 30 m 4 un,0,5249.99,
2026-07-17,coto,limpieza,7791290796829,jabon en polvo matic a mano lavado total con bicarbonato ala 800 g,0,3321.99,
2026-07-17,coto,panificados,7793890261233,pan blanco bimbo 400g,0,6022.0,
2026-07-17,coto,panificados,7790040143937,galletitas saladas sabor original traviata 96g,0,898.0,
2026-07-20,coto,almacen,7790272001029,aceite girasol natura botella 1 5 l,0,6975.0,
2026-07-20,coto,almacen,7791120100857,arroz blanco largo fino molinos ala 1kg,0,2500.0,
2026-07-20,coto,almacen,7790070336316,fideos tallarin n 5 matarazzo 500g,0,1916.0,
2026-07-20,coto,almacen,7790199000013,harina trigo 000 morixe 1kg,0,1110.0,
2026-07-20,coto,almacen,7792540250450,azucar superior real ledesma 1kg,0,1567.0,
2026-07-20,coto,almacen,7790580146115,pure de tomate arcor 520g,0,1110.0,
2026-07-20,coto,almacen,7790072001014,sal fina celusal 500g,0,1549.0,
2026-07-20,coto,bebidas,7790895000997,gaseosa coca cola sabor original 2 25 lt,0,4845.0,
2026-07-20,coto,bebidas,7799155000197,agua sin gas mineral villavicencio 2000c,0,3050.0,
2026-07-20,coto,bebidas,7792798007387,cerveza quilmes botella 1 l,0,4580.0,
2026-07-20,coto,carnes,2069607000002,picada especial x kg,1,10499.0,
2026-07-20,coto,carnes,2000000127910,pollo entero fresco x uni 4 kg refrigerado,1,17596.0,
2026-07-20,coto,carnes,2003836100003,paleta cocida feteada paladini xkg,1,14999.0,
2026-07-20,coto,lacteos,7790742363008,leche larga vida entera ua clasica 3 la serenisima 1l,0,2809.0,
2026-07-20,coto,lacteos,7798321152333,yogur bebible descremado sabor frutilla sancor vida 900g,0,3125.0,
2026-07-20,coto,lacteos,2000199000001,queso cremoso fraccionado la paulina xkg,1,9399.0,
2026-07-20,coto,lacteos,7793940054006,manteca la serenisima 200gr,0,4819.0,
2026-07-20,coto,limpieza,7790990003039,detergente magistral ultra limon botella 500ml,0,5049.99,
