fecha,serie,valor
2023-07-01,ipc,1818.0838
2023-08-01,ipc,2044.2832
2023-09-01,ipc,2304.9242
2023-10-01,ipc,2496.273
2023-11-01,ipc,2816.0628
2023-12-01,ipc,3533.1922
2024-01-01,ipc,4261.5324
2024-02-01,ipc,4825.7881
2024-03-01,ipc,5357.0929
2024-04-01,ipc,5830.2271
2024-05-01,ipc,6073.7
2024-06-01,ipc,6351.7145
2024-07-01,ipc,6607.7479
2024-08-01,ipc,6883.4412
2024-09-01,ipc,7122.2421
2024-10-01,ipc,7313.9542
2024-11-01,ipc,7491.4314
2024-12-01,ipc,7694.0075
2025-01-01,ipc,7864.1257
2025-02-01,ipc,8052.9927
2025-03-01,ipc,8353.3158
2025-04-01,ipc,8585.6078
2025-05-01,ipc,8714.4871
2025-06-01,ipc,8855.5681
2025-07-01,ipc,9023.973
2025-08-01,ipc,9193.2441
2025-09-01,ipc,9384.0922
2025-10-01,ipc,9603.8623
2025-11-01,ipc,9841.3581
2025-12-01,ipc,10121.3715
2026-01-01,ipc,10413.0309
2026-02-01,ipc,10714.6255
2026-03-01,ipc,11077.0608
2026-04-01,ipc,11363.0904
2026-05-01,ipc,11607.3937
2026-06-01,ipc,11826.4103
2026-07-26,dolar_blue,1545.0
2026-07-26,dolar_oficial,1520.0
2026-07-27,dolar_blue,1545.0
2026-07-27,dolar_oficial,1520.0
2026-07-28,dolar_blue,1560.0
2026-07-28,dolar_oficial,1520.0
